Latitude (decimal degrees):	59.600
Longitude (decimal degrees):	13.720
Radiation database:	PVGIS-SARAH

Results for:	All
Slope of plane (deg.):	30
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)		T2m
00:00		0.0		0.0		0.0		-3.12
01:00		0.0		0.0		0.0		-3.36
02:00		0.0		0.0		0.0		-3.6
03:00		0.0		0.0		0.0		-3.85
04:00		0.0		0.0		0.0		-3.87
05:00		0.0		0.0		0.0		-3.9
06:00		0.0		0.0		0.0		-3.93
07:00		0.0		0.0		0.0		-3.83
08:00		5.16		3.3		1.83		-3.73
09:00		72.09		44.33		27.34		-3.63
10:00		98.55		55.4		42.49		-2.99
11:00		115.02		66.4		47.86		-2.36
12:00		86.04		45.62		39.81		-1.72
13:00		70.03		43.39		26.23		-2.15
14:00		9.05		5.34		3.65		-2.57
15:00		0.0		0.0		0.0		-2.99
16:00		0.0		0.0		0.0		-3.15
17:00		0.0		0.0		0.0		-3.3
18:00		0.0		0.0		0.0		-3.46
19:00		0.0		0.0		0.0		-3.55
20:00		0.0		0.0		0.0		-3.64
21:00		0.0		0.0		0.0		-3.74
22:00		0.0		0.0		0.0		-3.55
23:00		0.0		0.0		0.0		-3.36
00:00		0.0		0.0		0.0		-3.67
01:00		0.0		0.0		0.0		-3.99
02:00		0.0		0.0		0.0		-4.31
03:00		0.0		0.0		0.0		-4.63
04:00		0.0		0.0		0.0		-4.7
05:00		0.0		0.0		0.0		-4.76
06:00		0.0		0.0		0.0		-4.83
07:00		21.38		12.69		8.54		-4.32
08:00		96.69		50.77		45.14		-3.81
09:00		175.49		95.99		78.07		-3.31
10:00		196.45		105.91		88.89		-2.5
11:00		205.35		110.78		92.82		-1.69
12:00		186.3		105.95		78.81		-0.88
13:00		170.91		96.38		73.14		-1.14
14:00		95.79		49.23		45.76		-1.4
15:00		39.82		23.45		16.08		-1.66
16:00		0.03		0.0		0.03		-2.25
17:00		0.0		0.0		0.0		-2.83
18:00		0.0		0.0		0.0		-3.42
19:00		0.0		0.0		0.0		-3.6
20:00		0.0		0.0		0.0		-3.79
21:00		0.0		0.0		0.0		-3.97
22:00		0.0		0.0		0.0		-3.86
23:00		0.0		0.0		0.0		-3.75
00:00		0.0		0.0		0.0		-1.44
01:00		0.0		0.0		0.0		-1.86
02:00		0.0		0.0		0.0		-2.28
03:00		0.0		0.0		0.0		-2.69
04:00		0.0		0.0		0.0		-2.66
05:00		0.48		0.01		0.47		-2.62
06:00		48.45		24.51		23.43		-2.58
07:00		168.84		98.08		69.16		-1.32
08:00		293.31		181.44		109.18		-0.06
09:00		385.63		241.86		140.24		1.2
10:00		432.79		270.87		157.96		2.0
11:00		460.02		293.41		162.42		2.81
12:00		411.66		254.53		153.3		3.61
13:00		358.55		212.02		143.15		3.52
14:00		299.58		185.86		110.97		3.42
15:00		182.45		102.97		77.74		3.33
16:00		68.54		35.84		31.99		2.12
17:00		0.46		0.0		0.46		0.91
18:00		0.0		0.0		0.0		-0.31
19:00		0.0		0.0		0.0		-0.76
20:00		0.0		0.0		0.0		-1.21
21:00		0.0		0.0		0.0		-1.66
22:00		0.0		0.0		0.0		-1.57
23:00		0.0		0.0		0.0		-1.47
00:00		0.0		0.0		0.0		3.06
01:00		0.0		0.0		0.0		2.49
02:00		0.0		0.0		0.0		1.91
03:00		0.0		0.0		0.0		1.34
04:00		5.14		0.0		5.06		2.12
05:00		50.9		15.84		34.23		2.89
06:00		161.16		77.1		82.02		3.67
07:00		297.2		166.04		127.77		5.07
08:00		424.85		251.13		169.13		6.48
09:00		517.7		315.49		196.77		7.88
10:00		553.41		333.48		214.15		8.42
11:00		551.83		322.86		223.15		8.95
12:00		530.97		307.37		217.99		9.48
13:00		466.98		263.14		198.82		9.6
14:00		372.79		209.25		159.44		9.71
15:00		277.54		144.94		129.37		9.82
16:00		158.05		71.31		84.68		8.66
17:00		46.66		11.06		34.74		7.5
18:00		2.05		0.0		2.02		6.34
19:00		0.0		0.0		0.0		5.45
20:00		0.0		0.0		0.0		4.56
21:00		0.0		0.0		0.0		3.67
22:00		0.0		0.0		0.0		3.54
23:00		0.0		0.0		0.0		3.4
00:00		0.0		0.0		0.0		7.76
01:00		0.0		0.0		0.0		7.26
02:00		0.0		0.0		0.0		6.76
03:00		4.7		0.0		4.63		6.25
04:00		30.06		0.08		29.45		7.33
05:00		102.63		35.71		65.22		8.4
06:00		222.57		104.91		114.59		9.47
07:00		353.06		192.21		156.45		10.62
08:00		470.58		273.2		191.83		11.76
09:00		554.47		327.69		220.43		12.9
10:00		566.62		326.35		233.84		13.18
11:00		596.81		352.03		238.05		13.46
12:00		559.62		317.92		235.31		13.75
13:00		486.11		267.8		212.64		13.97
14:00		417.69		227.11		185.55		14.2
15:00		316.73		156.2		156.46		14.43
16:00		201.76		87.85		111.01		13.76
17:00		96.77		28.52		66.44		13.1
18:00		32.75		0.0		32.26		12.44
19:00		3.03		0.0		2.99		11.24
20:00		0.0		0.0		0.0		10.04
21:00		0.0		0.0		0.0		8.85
22:00		0.0		0.0		0.0		8.53
23:00		0.0		0.0		0.0		8.22
00:00		0.0		0.0		0.0		11.77
01:00		0.0		0.0		0.0		11.35
02:00		0.0		0.0		0.0		10.93
03:00		17.09		0.0		16.84		10.51
04:00		43.69		1.1		41.43		11.57
05:00		134.39		53.32		78.71		12.62
06:00		261.83		127.25		130.82		13.68
07:00		398.63		222.09		171.37		14.68
08:00		524.14		306.19		211.55		15.69
09:00		600.79		348.69		244.98		16.69
10:00		622.1		355.41		259.4		16.93
11:00		634.03		369.17		257.47		17.18
12:00		619.23		353.96		257.99		17.42
13:00		552.33		317.45		228.28		17.65
14:00		481.53		266.32		209.25		17.87
15:00		384.62		199.85		179.69		18.09
16:00		258.18		117.48		136.9		17.6
17:00		138.08		46.55		88.99		17.11
18:00		55.39		0.0		54.57		16.62
19:00		20.66		0.0		20.36		15.4
20:00		0.0		0.0		0.0		14.17
21:00		0.0		0.0		0.0		12.95
22:00		0.0		0.0		0.0		12.59
23:00		0.0		0.0		0.0		12.23
00:00		0.0		0.0		0.0		14.42
01:00		0.0		0.0		0.0		14.05
02:00		0.0		0.0		0.0		13.67
03:00		6.93		0.0		6.83		13.29
04:00		32.43		0.0		31.95		14.25
05:00		101.0		30.81		68.45		15.2
06:00		216.58		91.7		121.78		16.16
07:00		347.13		175.58		167.05		17.11
08:00		469.2		254.68		208.8		18.05
09:00		566.83		324.14		236.03		19.0
10:00		587.42		322.06		258.52		19.26
11:00		628.92		362.33		259.37		19.52
12:00		605.02		350.43		247.62		19.78
13:00		521.41		279.48		235.73		19.97
14:00		459.7		249.58		204.51		20.17
15:00		365.21		190.89		169.6		20.36
16:00		247.22		113.77		129.9		19.85
17:00		131.25		44.58		84.33		19.34
18:00		49.99		0.0		49.25		18.82
19:00		15.1		0.0		14.88		17.7
20:00		0.0		0.0		0.0		16.58
21:00		0.0		0.0		0.0		15.46
22:00		0.0		0.0		0.0		15.12
23:00		0.0		0.0		0.0		14.78
00:00		0.0		0.0		0.0		13.48
01:00		0.0		0.0		0.0		13.12
02:00		0.0		0.0		0.0		12.75
03:00		0.0		0.0		0.0		12.38
04:00		10.97		0.0		10.8		13.07
05:00		61.97		15.12		45.84		13.75
06:00		168.65		70.16		96.23		14.44
07:00		293.47		145.42		144.49		15.45
08:00		404.36		214.39		185.31		16.45
09:00		482.51		257.52		219.57		17.46
10:00		503.28		267.97		229.7		17.76
11:00		528.59		282.82		239.92		18.05
12:00		514.58		286.14		222.76		18.35
13:00		458.89		248.22		205.52		18.5
14:00		380.6		203.22		172.99		18.65
15:00		302.58		160.18		138.74		18.8
16:00		188.41		88.78		97.09		18.07
17:00		78.41		22.19		54.85		17.34
18:00		18.23		0.0		17.96		16.61
19:00		0.04		0.0		0.04		15.73
20:00		0.0		0.0		0.0		14.86
21:00		0.0		0.0		0.0		13.99
22:00		0.0		0.0		0.0		13.79
23:00		0.0		0.0		0.0		13.6
00:00		0.0		0.0		0.0		10.37
01:00		0.0		0.0		0.0		9.97
02:00		0.0		0.0		0.0		9.57
03:00		0.0		0.0		0.0		9.17
04:00		0.0		0.0		0.0		9.45
05:00		15.81		4.12		11.44		9.72
06:00		106.14		48.48		56.45		10.0
07:00		225.78		120.84		102.6		11.23
08:00		330.33		186.55		140.44		12.46
09:00		412.1		244.13		163.92		13.69
10:00		457.41		273.5		179.43		14.19
11:00		451.06		258.01		188.57		14.69
12:00		435.91		251.06		180.53		15.19
13:00		381.34		220.3		157.24		15.25
14:00		292.13		164.49		124.7		15.32
15:00		201.74		105.06		94.55		15.39
16:00		88.74		39.92		47.76		14.31
17:00		5.84		0.73		5.0		13.22
18:00		0.0		0.0		0.0		12.14
19:00		0.0		0.0		0.0		11.57
20:00		0.0		0.0		0.0		11.0
21:00		0.0		0.0		0.0		10.42
22:00		0.0		0.0		0.0		10.37
23:00		0.0		0.0		0.0		10.32
00:00		0.0		0.0		0.0		5.67
01:00		0.0		0.0		0.0		5.38
02:00		0.0		0.0		0.0		5.1
03:00		0.0		0.0		0.0		4.81
04:00		0.0		0.0		0.0		4.77
05:00		0.0		0.0		0.0		4.73
06:00		22.29		12.19		9.91		4.69
07:00		118.04		66.94		50.14		5.57
08:00		202.39		118.28		82.42		6.46
09:00		249.85		152.28		95.49		7.34
10:00		288.45		175.96		110.05		7.85
11:00		291.3		178.58		110.26		8.36
12:00		254.35		156.61		95.64		8.87
13:00		217.22		129.97		85.46		8.68
14:00		139.77		80.3		58.33		8.49
15:00		59.52		33.41		25.63		8.31
16:00		0.31		0.0		0.31		7.66
17:00		0.0		0.0		0.0		7.02
18:00		0.0		0.0		0.0		6.38
19:00		0.0		0.0		0.0		6.13
20:00		0.0		0.0		0.0		5.89
21:00		0.0		0.0		0.0		5.64
22:00		0.0		0.0		0.0		5.61
23:00		0.0		0.0		0.0		5.59
00:00		0.0		0.0		0.0		2.49
01:00		0.0		0.0		0.0		2.33
02:00		0.0		0.0		0.0		2.17
03:00		0.0		0.0		0.0		2.01
04:00		0.0		0.0		0.0		1.97
05:00		0.0		0.0		0.0		1.94
06:00		0.0		0.0		0.0		1.9
07:00		1.8		0.6		1.18		2.22
08:00		68.88		41.12		27.32		2.54
09:00		117.8		70.92		46.11		2.86
10:00		150.8		91.06		58.71		3.27
11:00		153.24		92.05		60.13		3.69
12:00		131.52		78.18		52.45		4.1
13:00		83.47		49.19		33.74		3.68
14:00		18.89		11.11		7.65		3.27
15:00		0.0		0.0		0.0		2.85
16:00		0.0		0.0		0.0		2.67
17:00		0.0		0.0		0.0		2.49
18:00		0.0		0.0		0.0		2.31
19:00		0.0		0.0		0.0		2.25
20:00		0.0		0.0		0.0		2.2
21:00		0.0		0.0		0.0		2.14
22:00		0.0		0.0		0.0		2.18
23:00		0.0		0.0		0.0		2.23
00:00		0.0		0.0		0.0		-1.23
01:00		0.0		0.0		0.0		-1.47
02:00		0.0		0.0		0.0		-1.7
03:00		0.0		0.0		0.0		-1.93
04:00		0.0		0.0		0.0		-2.0
05:00		0.0		0.0		0.0		-2.06
06:00		0.0		0.0		0.0		-2.12
07:00		0.0		0.0		0.0		-2.04
08:00		0.0		0.0		0.0		-1.95
09:00		62.67		43.03		19.34		-1.87
10:00		92.21		56.66		35.04		-1.38
11:00		92.39		54.65		37.19		-0.88
12:00		75.6		45.96		29.22		-0.39
13:00		12.13		4.23		7.78		-0.76
14:00		0.0		0.0		0.0		-1.13
15:00		0.0		0.0		0.0		-1.5
16:00		0.0		0.0		0.0		-1.56
17:00		0.0		0.0		0.0		-1.63
18:00		0.0		0.0		0.0		-1.7
19:00		0.0		0.0		0.0		-1.71
20:00		0.0		0.0		0.0		-1.71
21:00		0.0		0.0		0.0		-1.71
22:00		0.0		0.0		0.0		-1.54
23:00		0.0		0.0		0.0		-1.37

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)
T2m: 2-m air temperature (degree Celsius)

PVGIS (c) European Union, 2001-2021